review_group,orders_count,avg_review_score,avg_delivery_days,avg_delay_days,late_rate,avg_order_value
low_reviews,12240,1.24,20.22,-4.43,0.3379,187.94
normal_reviews,83590,4.58,11.39,-12.21,0.0422,155.44
